date,home_team,away_team,team,scorer,minute,own_goal,penalty
1916-07-02,152,858,858,José Piendibene,44,0,0
1916-07-02,152,858,858,Isabelino Gradín,55,0,0
1916-07-02,152,858,858,Isabelino Gradín,70,0,0
1916-07-02,152,858,858,José Piendibene,75,0,0
1916-07-06,32,152,32,Alberto Ohaco,2,0,0
1916-07-06,32,152,152,Telésforo Báez,44,0,0
1916-07-06,32,152,32,Juan Domingo Brown,60,0,1
1916-07-06,32,152,32,Juan Domingo Brown,62,0,1
1916-07-06,32,152,32,Alberto Marcovecchio,67,0,0
1916-07-06,32,152,32,Alberto Ohaco,75,0,0
1916-07-06,32,152,32,Alberto Marcovecchio,81,0,0
1916-07-08,76,152,76,Demóstenes Correia de Syllos,29,0,0
1916-07-08,76,152,152,Hernando Salazar,85,0,0
1916-07-10,32,76,32,José Durand Laguna,10,0,0
1916-07-10,32,76,76,Manoel Alencar Monte,23,0,0
1916-07-12,76,858,76,Arthur Friedenreich,8,0,0
1916-07-12,76,858,858,Isabelino Gradín,58,0,0
1916-07-12,76,858,858,Jose Tognola,77,0,0
1917-09-30,858,152,858,Carlos Scarone,20,0,0
1917-09-30,858,152,858,Ángel Romano,44,0,0
1917-09-30,858,152,858,Carlos Scarone,62,0,1
1917-09-30,858,152,858,Ángel Romano,75,0,0
1917-10-03,32,76,76,Neco,8,0,0
1917-10-03,32,76,32,Pedro Calomino,15,0,0
1917-10-03,32,76,76,Silvio Lagreca,39,0,1
1917-10-03,32,76,32,Alberto Ohaco,56,0,1
1917-10-03,32,76,32,Alberto Ohaco,58,0,1
1917-10-03,32,76,32,Antonio Blanco,80,0,0
1917-10-06,32,152,32,Luis García,76,1,0
1917-10-07,858,76,858,Héctor Scarone,8,0,0
1917-10-07,858,76,858,Ángel Romano,17,0,0
1917-10-07,858,76,858,Ángel Romano,77,0,0
1917-10-07,858,76,858,Carlos Scarone,86,0,0
1917-10-12,76,152,76,Caetano Izzo,21,0,0
1917-10-12,76,152,76,Neco,23,0,0
1917-10-12,76,152,76,Haroldo Domingues,26,0,0
1917-10-12,76,152,76,Amílcar Barbuy,41,0,0
1917-10-12,76,152,76,Haroldo Domingues,59,0,0
1917-10-14,858,32,858,Héctor Scarone,62,0,0
1919-05-11,76,152,76,Arthur Friedenreich,19,0,0
1919-05-11,76,152,76,Neco,21,0,0
1919-05-11,76,152,76,Arthur Friedenreich,38,0,0
1919-05-11,76,152,76,Arthur Friedenreich,76,0,0
1919-05-11,76,152,76,Haroldo Domingues,79,0,0
1919-05-11,76,152,76,Neco,83,0,0
1919-05-13,32,858,858,Carlos Scarone,19,0,0
1919-05-13,32,858,858,Héctor Scarone,23,0,0
1919-05-13,32,858,32,Carlos Izaguirre,34,0,0
1919-05-13,32,858,32,Manuel Varela,79,1,0
1919-05-13,32,858,858,Isabelino Gradín,85,0,0
1919-05-17,152,858,858,Carlos Scarone,31,0,0
1919-05-17,152,858,858,José Pérez,43,0,0
1919-05-18,76,32,76,Heitor,22,0,0
1919-05-18,76,32,76,Amílcar Barbuy,57,0,0
1919-05-18,76,32,32,Carlos Izaguirre,65,0,0
1919-05-18,76,32,76,Adolpho Millón Junior,77,0,0
1919-05-22,32,152,32,Edwin Clarcke,10,0,0
1919-05-22,32,152,32,Carlos Izaguirre,13,0,0
1919-05-22,32,152,32,Edwin Clarcke,23,0,0
1919-05-22,32,152,152,Alfredo France,33,0,0
1919-05-22,32,152,32,Edwin Clarcke,62,0,0
1919-05-26,76,858,858,Isabelino Gradín,13,0,0
1919-05-26,76,858,858,Carlos Scarone,17,0,0
1919-05-26,76,858,76,Neco,29,0,0
1919-05-26,76,858,76,Neco,63,0,0
1919-05-29,76,858,76,Arthur Friedenreich,122,0,0
1920-09-11,152,76,76,Ismael Alvariza,53,0,0
1920-09-12,858,32,858,José Piendibene,10,0,0
1920-09-12,858,32,32,Raúl Echeverría,75,0,0
1920-09-18,76,858,858,Ángel Romano,23,0,0
1920-09-18,76,858,858,Antonio Urdinarán,26,0,1
1920-09-18,76,858,858,José Pérez,29,0,0
1920-09-18,76,858,858,Antonio Campolo,48,0,0
1920-09-18,76,858,858,Ángel Romano,60,0,0
1920-09-18,76,858,858,José Pérez,65,0,0
1920-09-20,152,32,32,Miguel Dellavalle,13,0,0
1920-09-20,152,32,152,Hernando Bolados,30,0,0
1920-09-25,32,76,32,Raúl Echeverría,40,0,0
1920-09-25,32,76,32,Julio Libonatti,73,0,0
1920-10-03,152,858,858,Ángel Romano,37,0,0
1920-10-03,152,858,152,Aurelio Domínguez,60,0,0
1920-10-03,152,858,858,José Pérez,65,0,0
1921-10-02,32,76,32,Julio Libonatti,27,0,0
1921-10-09,600,858,600,Gerardo Rivas,9,0,0
1921-10-09,600,858,600,Ildefonso López,66,0,0
1921-10-09,600,858,858,José Piendibene,83,0,0
1921-10-12,76,600,76,Ernesto Duarte Machado da Silva,21,0,0
1921-10-12,76,600,76,Ernesto Duarte Machado da Silva,44,0,0
1921-10-12,76,600,76,Aníbal Médicis Candiota,46,0,0
1921-10-16,32,600,32,Julio Libonatti,1,0,0
1921-10-16,32,600,32,Blas Saruppo,71,0,0
1921-10-16,32,600,32,Raúl Echeverría,76,0,0
1921-10-23,76,858,858,Ángel Romano,1,0,0
1921-10-23,76,858,858,Ángel Romano,8,0,0
1921-10-23,76,858,76,José Carlos Guimarães,53,0,0
1921-10-30,32,858,32,Julio Libonatti,57,0,0
1922-09-17,76,152,76,Altino Marcondes,9,0,0
1922-09-17,76,152,152,Manuel Bravo Paredes,41,0,0
1922-09-23,152,858,858,Juan Carlos Heguy,10,0,0
1922-09-23,152,858,858,Antonio Urdinarán,19,0,1
1922-09-24,76,600,76,Amílcar Barbuy,14,0,0
1922-09-24,76,600,600,Gerardo Rivas,71,0,0
1922-09-28,32,152,32,Angel Chiessa,10,0,0
1922-09-28,32,152,32,Julio Francia,36,0,0
1922-09-28,32,152,32,Julio Francia,41,0,0
1922-09-28,32,152,32,José Gaslini,75,0,0
1922-10-05,152,600,600,Julio Ramírez,5,0,0
1922-10-05,152,600,600,Ildefonso López,78,0,0
1922-10-05,152,600,600,Luis Fretes,86,0,0
1922-10-08,32,858,858,Felipe Buffoni,43,0,0
1922-10-12,600,858,600,Carlos Elizeche,7,0,0
1922-10-15,76,32,76,Neco,42,0,0
1922-10-15,76,32,76,Amílcar Barbuy,86,0,1
1922-10-18,32,600,32,Julio Francia,63,0,0
1922-10-18,32,600,32,Julio Francia,79,0,1
1922-10-22,76,600,76,Neco,11,0,0
1922-10-22,76,600,76,Xavier Camargo,48,0,0
1922-10-22,76,600,76,Xavier Camargo,89,0,0
1923-10-29,32,600,600,Gerardo Rivas,10,0,0
1923-10-29,32,600,32,Blas Saruppo,18,0,0
1923-10-29,32,600,600,Agustín Zelada,49,0,0
1923-10-29,32,600,32,Vicente Aguirre,58,0,0
1923-10-29,32,600,600,Luis Fretes,65,0,0
1923-10-29,32,600,32,Vicente Aguirre,77,0,0
1923-10-29,32,600,32,Vicente Aguirre,86,0,0
1923-11-04,858,600,858,Héctor Scarone,11,0,0
1923-11-04,858,600,858,Pedro Petrone,87,0,0
1923-11-11,76,600,600,Ildefonso López,56,0,0
1923-11-18,32,76,32,Cesáreo Onzari,11,0,0
1923-11-18,32,76,76,Nilo Braga,15,0,0
1923-11-18,32,76,32,Blas Saruppo,76,0,0
1923-11-25,858,76,858,Pedro Petrone,56,0,0
1923-11-25,858,76,76,Nilo Braga,59,0,0
1923-11-25,858,76,858,José Cea,75,0,0
1923-12-02,858,32,858,Pedro Petrone,28,0,0
1923-12-02,858,32,858,Pascual Somma,88,0,0
1924-05-25,2,792,2,Rudolf Sloup,21,0,0
1924-05-25,2,792,2,Josef Sedláček,28,0,0
1924-05-25,2,792,2,Josef Sedláček,37,0,0
1924-05-25,2,792,792,Bekir Refet,63,0,0
1924-05-25,2,792,2,Jan Novák,64,0,0
1924-05-25,2,792,2,Josef Čapek,74,0,0
1924-05-25,2,792,792,Bekir Refet,82,0,0
1924-05-25,380,724,380,Pedro Vallana,84,1,0
1924-05-25,756,440,756,Paul Sturzenegger,2,0,0
1924-05-25,756,440,756,Walter Dietrich,14,0,0
1924-05-25,756,440,756,Max Abegglen,41,0,0
1924-05-25,756,440,756,Paul Sturzenegger,43,0,0
1924-05-25,756,440,756,Max Abegglen,50,0,0
1924-05-25,756,440,756,Max Abegglen,58,0,0
1924-05-25,756,440,756,Rudolf Ramseyer,63,0,1
1924-05-25,756,440,756,Paul Sturzenegger,68,0,0
1924-05-25,756,440,756,Paul Sturzenegger,85,0,0
1924-05-25,840,233,840,Andy Straden,15,0,1
1924-05-26,348,616,348,József Eisenhoffer,14,0,0
1924-05-26,348,616,348,Ferenc Hirzer,51,0,0
1924-05-26,348,616,348,Ferenc Hirzer,58,0,0
1924-05-26,348,616,348,Zoltán Opata,70,0,0
1924-05-26,348,616,348,Zoltán Opata,87,0,0
1924-05-26,858,1,858,José Vidal,20,0,0
1924-05-26,858,1,858,Héctor Scarone,23,0,0
1924-05-26,858,1,858,Pedro Petrone,35,0,0
1924-05-26,858,1,858,Pedro Cea,50,0,0
1924-05-26,858,1,858,Ángel Romano,58,0,0
1924-05-26,858,1,858,Pedro Petrone,61,0,0
1924-05-26,858,1,858,Pedro Cea,80,0,0
1924-05-27,250,428,250,Édouard Crut,17,0,0
1924-05-27,250,428,250,Paul Nicolas,25,0,0
1924-05-27,250,428,250,Édouard Crut,28,0,0
1924-05-27,250,428,250,Paul Nicolas,50,0,0
1924-05-27,250,428,250,Édouard Crut,55,0,0
1924-05-27,250,428,250,Jean Boyer,71,0,0
1924-05-27,250,428,250,Jean Boyer,87,0,0
1924-05-27,528,642,528,Albert Hurgronje,8,0,0
1924-05-27,528,642,528,Kees Pijl,32,0,0
1924-05-27,528,642,528,Kees Pijl,52,0,0
1924-05-27,528,642,528,Kees Pijl,66,0,0
1924-05-27,528,642,528,Kees Pijl,68,0,0
1924-05-27,528,642,528,Johannes de Natris,69,0,1
1924-05-28,372,100,372,Paddy Duncan,75,0,0
1924-05-28,756,2,2,Rudolf Sloup,21,0,1
1924-05-28,756,2,756,Walter Dietrich,79,0,0
1924-05-29,818,348,818,Ibrahim Yakan,4,0,0
1924-05-29,818,348,818,Hussein Hegazi,40,0,0
1924-05-29,818,348,818,Ibrahim Yakan,58,0,0
1924-05-29,380,442,380,Adolfo Baloncieri,20,0,0
1924-05-29,380,442,380,Giuseppe Della Valle,38,0,0
1924-05-29,752,56,752,Rudolf Kock,8,0,0
1924-05-29,752,56,752,Sven Rydell,20,0,0
